text,label
"""Agreement between company and vendor for supplies""",Agreement
"""Service agreement for IT support""",Agreement
"""Service agreement for vendor support"", …",Agreement
Service agreement for vendor support,Agreement
Agreement for IT maintenance services,Agreement
Contract agreement for office renovation,Agreement
Agreement for security services,Agreement
Service agreement for cleaning company,Agreement
Agreement for office equipment lease,Agreement
Agreement for stationery supply vendor,Agreement
Contract for annual audit services,Agreement
Service agreement for software maintenance,Agreement
Agreement for office furniture supply,Agreement
Bill for broadband connection charges,Bill
Bill for canteen food supply,Bill
Bill for cleaning and sanitation services,Bill
Bill for courier services,Bill
Bill for diesel consumed by DG set,Bill
Bill for internet services for August month,Bill
Bill for maintenance of AC units,Bill
Bill for office rent August 2025,Bill
Bill for office stationery purchase,Bill
Bill for pest control services,Bill
Bill for repair of official vehicle,Bill
Bill for repair of photocopier machine,Bill
Bill for staff bus service,Bill
Bill for taxi services during official travel,Bill
Bill raised for canteen supply expenses (Bill Ref 25),Bill
Bill raised for canteen supply expenses (Bill Ref 44),Bill
Bill raised for canteen supply expenses (Bill Ref 59),Bill
Bill raised for canteen supply expenses (Bill Ref 73),Bill
Bill raised for electricity expenses (Bill Ref 40),Bill
Bill raised for internet broadband expenses (Bill Ref 36),Bill
Bill raised for office rent expenses (Bill Ref 24),Bill
Bill raised for office rent expenses (Bill Ref 4),Bill
Bill raised for office rent expenses (Bill Ref 76),Bill
Bill raised for security services expenses (Bill Ref 65),Bill
Bill raised for telephone expenses (Bill Ref 16),Bill
Bill raised for telephone expenses (Bill Ref 32),Bill
Bill raised for telephone expenses (Bill Ref 90),Bill
Bill raised for travel and lodging expenses (Bill Ref 54),Bill
Bill raised for travel and lodging expenses (Bill Ref 87),Bill
Bill raised for travel and lodging expenses (Bill Ref 88),Bill
Bill raised for travel and lodging expenses (Bill Ref 91),Bill
Bill raised for vehicle fuel expenses (Bill Ref 38),Bill
Bill raised for vehicle fuel expenses (Bill Ref 50),Bill
Bill raised for vehicle fuel expenses (Bill Ref 68),Bill
Bill raised for vehicle fuel expenses (Bill Ref 99),Bill
Bill statement for canteen supply payment (Bill Ref 18),Bill
Bill statement for canteen supply payment (Bill Ref 49),Bill
Bill statement for internet broadband payment (Bill Ref 48),Bill
Bill statement for internet broadband payment (Bill Ref 60),Bill
Bill statement for office rent payment (Bill Ref 70),Bill
Bill statement for office rent payment (Bill Ref 75),Bill
Bill statement for office rent payment (Bill Ref 77),Bill
Bill statement for security services payment (Bill Ref 33),Bill
Bill statement for security services payment (Bill Ref 62),Bill
Bill statement for travel and lodging payment (Bill Ref 29),Bill
Bill statement for travel and lodging payment (Bill Ref 5),Bill
Bill statement for travel and lodging payment (Bill Ref 55),Bill
Bill statement for travel and lodging payment (Bill Ref 61),Bill
Bill statement for travel and lodging payment (Bill Ref 85),Bill
Bill statement for vehicle fuel payment (Bill Ref 100),Bill
Bill statement for vehicle fuel payment (Bill Ref 14),Bill
Bill statement for vehicle fuel payment (Bill Ref 21),Bill
Electricity bill for auditorium,Bill
Electricity bill for guest house,Bill
"""This certifies completion of computer training program""",Certificate
"""Certificate of participation in workshop""",Certificate
"""Certificate of completion: Python training"", …",Certificate
Certificate of completion: Python training,Certificate
Certificate for participation in AI workshop,Certificate
Certificate for excellence in project work,Certificate
Certificate of achievement: Employee of the Month,Certificate
Certificate for completing cybersecurity course,Certificate
Certificate of participation in leadership program,Certificate
Certificate for training on office management,Certificate
Certificate of completion: Data Science Bootcamp,Certificate
Certificate for outstanding performance,Certificate
Certificate for employee induction program,Certificate
Indent for procurement of 20 office chairs and 4 tables,Indent
Indent form submitted for 10 air conditioners required urgently (Indent Ref 99),Indent
Indent form submitted for 11 conference tables required urgently (Indent Ref 88),Indent
Indent form submitted for 11 conference tables required urgently (Indent Ref 96),Indent
Indent form submitted for 11 office chairs required urgently (Indent Ref 2),Indent
Indent form submitted for 14 conference tables required urgently (Indent Ref 59),Indent
Indent form submitted for 15 external hard drives required urgently (Indent Ref 84),Indent
Indent form submitted for 15 stationery packs required urgently (Indent Ref 83),Indent
Indent form submitted for 18 keyboards required urgently (Indent Ref 41),Indent
Indent form submitted for 20 external hard drives required urgently (Indent Ref 89),Indent
Indent form submitted for 20 laser printers required urgently (Indent Ref 74),Indent
Indent form submitted for 21 conference tables required urgently (Indent Ref 26),Indent
Indent form submitted for 23 conference tables required urgently (Indent Ref 86),Indent
Indent form submitted for 23 external hard drives required urgently (Indent Ref 19),Indent
Indent form submitted for 25 servers required urgently (Indent Ref 6),Indent
Indent form submitted for 3 laser printers required urgently (Indent Ref 56),Indent
Indent form submitted for 5 conference tables required urgently (Indent Ref 93),Indent
Indent form submitted for 6 monitors required urgently (Indent Ref 13),Indent
Indent form submitted for 8 desktops required urgently (Indent Ref 24),Indent
Indent form submitted for 9 conference tables required urgently (Indent Ref 49),Indent
Indent generated for procurement of 1 office chairs (Indent Ref 36),Indent
Indent generated for procurement of 11 air conditioners (Indent Ref 17),Indent
Indent generated for procurement of 12 desktops (Indent Ref 78),Indent
Indent generated for procurement of 14 external hard drives (Indent Ref 8),Indent
Indent generated for procurement of 14 laser printers (Indent Ref 40),Indent
Indent generated for procurement of 17 air conditioners (Indent Ref 79),Indent
Indent generated for procurement of 17 office chairs (Indent Ref 28),Indent
Indent generated for procurement of 2 stationery packs (Indent Ref 7),Indent
Indent generated for procurement of 20 keyboards (Indent Ref 22),Indent
Indent generated for procurement of 21 conference tables (Indent Ref 45),Indent
Indent generated for procurement of 22 monitors (Indent Ref 62),Indent
Indent generated for procurement of 23 monitors (Indent Ref 75),Indent
Indent generated for procurement of 4 servers (Indent Ref 64),Indent
Indent generated for procurement of 6 conference tables (Indent Ref 23),Indent
Indent generated for procurement of 9 laser printers (Indent Ref 25),Indent
Indent raised for 2 laser printers,Indent
